# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	48101
#@/user_id	2e78a248-4bb3-4f88-87b4-60fa7da6ab99
a 	啊	c=4 d=1.03765e-17 t=48101
fu fei 	付費	c=5 d=7.94804e-05 t=48101
fu gai 	覆蓋	c=2 d=3.02807e-05 t=48101
fu hao 	符號	c=1 d=2.06179e-42 t=48101
fu he 	符合	c=1 d=1.70322e-59 t=48101
fu he 	複覈	c=1 d=1 t=42128
fu jian 	福建	c=7 d=2.11039e-06 t=48101
fu jian 	附件	c=5 d=1.68524e-52 t=48101
fu ke 	復刻	c=1 d=1.41089e-79 t=48101
fu kuan 	付款	c=18 d=0.265511 t=48101
fu kuan fang shi 	付款方式	c=1 d=1 t=43871
fu kuan hou 	付款後	c=1 d=1.71508e-23 t=48101
fu mian 	負面	c=2 d=2.57066e-56 t=48101
fu mu 	父母	c=6 d=1.45834e-52 t=48101
fu qian 	付錢	c=1 d=1.00085e-10 t=48101
fu re dai 	副熱帶	c=1 d=4.00721e-07 t=48101
fu wen ben 	富文本	c=7 d=8.96822e-59 t=48101
fu wu 	服務	c=27 d=1.50136 t=48101
fu wu di zhi 	服務地址	c=1 d=0.285076 t=48101
fu wu qi 	服務器	c=19 d=2.55693 t=48101
fu wu shi chang 	服務市場	c=2 d=0.00571306 t=48101
fu xian 	復現	c=1 d=2.57588e-14 t=48101
fu ye 	副業	c=1 d=9.32016e-55 t=48101
fu ying zhang 	副營長	c=1 d=1.55208e-54 t=48101
fu yuan 	復原	c=1 d=7.57022e-79 t=48101
fu za 	複雜	c=4 d=2.1992e-07 t=48101
fu zao 	浮躁	c=1 d=3.13806e-13 t=48101
fu zhi 	複製	c=156 d=0.934341 t=48101
fu zhi 	賦值	c=2 d=4.00653e-05 t=48101
fu zhi dao 	複製到	c=1 d=1.02211e-22 t=48101
fu zhi hui 	副指揮	c=1 d=1.68432e-16 t=48101
fu zhou 	福州	c=1 d=5.12896e-87 t=48101
fu zhu 	輔助	c=1 d=6.06944e-09 t=48101
fu zhu gong neng 	輔助功能	c=1 d=1 t=43255
fu zhuang 	服裝	c=1 d=2.0789e-51 t=48101
fu zu jian 	父組件	c=3 d=8.42141e-73 t=48101
ga 	噶	c=0 d=9.96813e-82 t=48101
gai 	改	c=9 d=0.0238828 t=48101
gai 	該	c=12 d=0.000750328 t=48101
gai ban 	改版	c=3 d=1.0474 t=43069
gai bian 	改變	c=2 d=1.76685e-44 t=48101
gai bu hui 	該不會	c=1 d=8.4361e-59 t=48101
gai de 	改的	c=1 d=1.07003e-61 t=48101
gai dong 	改動	c=1 d=3.30739e-43 t=48101
gai gai 	改改	c=1 d=1 t=45989
gai gai 	盖盖	c=0 d=6.18302e-81 t=48101
gai gai du zi 	盖盖肚子	c=1 d=6.21402e-80 t=48101
gai hui lai 	改回來	c=1 d=5.37343e-76 t=48101
gai jia 	改價	c=2 d=6.22203e-07 t=48101
gai jin 	改進	c=1 d=9.28631e-71 t=48101
gai le 	改了	c=2 d=2.48678e-41 t=48101
gai lv 	概率	c=2 d=2.78303e-71 t=48101
gai ming 	改名	c=1 d=1.28464e-35 t=48101
gai ming zi 	改名字	c=1 d=0.00304273 t=48101
gai nian 	概念	c=1 d=4.37299e-64 t=48101
gai pin 	改频	c=1 d=1 t=46301
gai qian 	改簽	c=1 d=4.30802e-35 t=48101
gai wan 	改完	c=1 d=6.98389e-13 t=48101
gai wei 	改爲	c=4 d=2.90479e-16 t=48101
gai yi xia 	改一下	c=2 d=1.06952e-26 t=48101
gai yong 	改用	c=3 d=7.34039e-43 t=48101
gai zhang 	蓋章	c=2 d=6.42921e-10 t=48101
gan 	幹	c=1 d=7.09864e-87 t=48101
gan dao di 	干到底	c=1 d=4.93221e-68 t=48101
gan dong 	感動	c=1 d=2.3692e-30 t=48101
gan ga 	尷尬	c=2 d=4.47454e-40 t=48101
gan jiao 	感覺	c=40 d=0.0572688 t=48101
gan jue 	感覺	c=4 d=1.23418e-50 t=48101
gan le 	乾了	c=1 d=2.06319e-50 t=48101
gan ma 	幹嘛	c=6 d=7.07354e-16 t=48101
gan mao 	感冒	c=1 d=1.28037e-84 t=48101
gan qing 	感情	c=2 d=6.35508e-50 t=48101
gan shen me 	幹什麼	c=1 d=9.09779e-65 t=48101
gan shou 	感受	c=4 d=3.10505e-65 t=48101
gan xie 	感謝	c=77 d=0.428474 t=48101
gan xie 	🙏	c=1 d=3.27225e-35 t=48101
gan xing qu 	感興趣	c=1 d=4.70171e-05 t=48101
gan yi hang 	幹一行	c=1 d=3.0097e-51 t=48101
gan zao 	乾燥	c=1 d=1.35119e-41 t=48101
gan zhe 	乾着	c=1 d=8.14153e-82 t=48101
gang 	剛	c=18 d=0.00524757 t=48101
gang 	槓	c=1 d=2.76397e-49 t=48101
gang 	港	c=3 d=2.92639 t=45603
gang cai 	剛纔	c=31 d=5.92072e-07 t=48101
gang gang 	剛剛	c=15 d=0.213518 t=48101
gang shao 	崗哨	c=1 d=6.16831e-52 t=48101
gang tie 	鋼鐵	c=2 d=7.41099e-48 t=48101
gang yuan 	港元	c=1 d=1 t=45597
gao 	搞	c=14 d=3.1975e-14 t=48101
gao 	高	c=8 d=0.000500451 t=48101
gao bang 	高幫	c=1 d=4.67064e-74 t=48101
gao bu dong 	搞不懂	c=2 d=0.00436124 t=48101
gao bu gao xiao 	搞不搞笑	c=2 d=3.55451e-66 t=48101
gao ceng 	高層	c=4 d=3.13856e-57 t=48101
gao cuo 	搞錯	c=1 d=2.03871e-86 t=48101
gao cuo le 	搞錯了	c=1 d=1.16077e-48 t=48101
gao da 	高達	c=1 d=7.38206e-77 t=48101
gao dao 	搞到	c=3 d=4.58477e-59 t=48101
gao dao qian 	搞到錢	c=1 d=5.06757e-63 t=48101
gao de di tu 	高德地圖	c=2 d=7.04665e-81 t=48101
gao deng 	高等	c=1 d=9.54016e-06 t=48101
gao di 	高低	c=1 d=2.40117e-70 t=48101
gao dian 	高點	c=1 d=2.85649e-54 t=48101
gao dian qian 	搞點錢	c=2 d=3.71115e-66 t=48101
gao ding 	搞定	c=3 d=3.31941e-14 t=48101
gao dong 	搞懂	c=4 d=0.00351752 t=48101
gao du 	高度	c=7 d=1.46952e-58 t=48101
gao duan 	高端	c=1 d=1.12627e-46 t=48101
gao fen 	高分	c=1 d=1.48131e-05 t=48101
gao feng qi 	高峯期	c=1 d=4.09416e-83 t=48101
gao gao 	搞搞	c=3 d=7.79306e-38 t=48101
gao ge 	搞個	c=1 d=5.68517e-63 t=48101
gao guan 	高管	c=1 d=1.60567e-71 t=48101
gao ji 	高級	c=2 d=1.8295e-75 t=48101
gao jia 	高價	c=1 d=9.96304e-75 t=48101
gao jue 	高爵	c=1 d=2.47051e-52 t=48101
gao kao 	高考	c=15 d=0.000542599 t=48101
gao le 	高了	c=1 d=5.53331e-68 t=48101
gao liang 	高亮	c=2 d=0.282239 t=48101
gao ming bai 	搞明白	c=1 d=1.04927e-07 t=48101
gao pin 	高頻	c=1 d=1.57179e-26 t=48101
gao qi lai 	搞起來	c=1 d=7.1037e-66 t=48101
gao qing 	高清	c=9 d=0.121511 t=48101
gao su 	告訴	c=2 d=8.66216e-46 t=48101
gao su 	高速	c=1 d=7.68226e-46 t=48101
gao su wo 	告訴我	c=1 d=7.5227e-05 t=48101
gao tie 	高鐵	c=1 d=2.91476e-32 t=48101
gao tie shang 	高鐵上	c=1 d=6.39367e-33 t=48101
gao xiao 	搞笑	c=1 d=7.14342e-14 t=48101
gao xiao 	高效	c=7 d=3.91083 t=42188
gao xiao 	高校	c=6 d=6.64701e-09 t=48101
gao xing neng 	高性能	c=2 d=0.733447 t=48101
gao xue ya 	高血壓	c=3 d=1.06653e-49 t=48101
gao yi 	高一	c=1 d=1.18285e-05 t=48101
gao yi dian 	高一點	c=1 d=1 t=47858
gao yi xia 	搞一下	c=2 d=1.73078e-42 t=48101
gao zhi 	告知	c=1 d=1.76917e-06 t=48101
gao zhong 	高中	c=16 d=0.000794442 t=48101
gao zhong di 	高中低	c=1 d=9.06012e-75 t=48101
gao zhong sheng 	高中生	c=1 d=0.000112226 t=48101
ge 	個	c=63 d=0.00316668 t=48101
ge 	各	c=2 d=5.51656e-54 t=48101
ge 	哥	c=1 d=1.45065e-54 t=48101
ge 	格	c=1 d=1 t=41740
ge 	歌	c=0 d=7.02801e-88 t=48101
ge bi 	隔壁	c=1 d=1.01909e-46 t=48101
ge da 	各大	c=3 d=3.21347e-57 t=48101
ge fang 	各方	c=1 d=4.4421e-72 t=48101
ge hang ge ye 	各行各業	c=1 d=1 t=45046
ge le 	隔了	c=1 d=5.96935e-78 t=48101
ge lei 	各類	c=1 d=5.79626e-26 t=48101
ge men 	哥們	c=1 d=1.70496e-71 t=48101
ge qu 	歌曲	c=1 d=1 t=45589
ge ren 	個人	c=20 d=0.767206 t=48101
ge shi 	格式	c=8 d=5.40637e-06 t=48101
ge shi hua 	格式化	c=7 d=2.80488e-16 t=48101
ge wei 	各位	c=4 d=1.11606e-68 t=48101
ge yue 	個月	c=15 d=0.276651 t=48101
ge yue e 	個月額	c=1 d=3.48964e-27 t=48101
ge zai fei 	歌在飛	c=1 d=7.06323e-87 t=48101
ge zhong 	各種	c=4 d=1.41295e-08 t=48101
gei 	給	c=65 d=0.298197 t=48101
gei chu 	給出	c=1 d=1.53397e-63 t=48101
gei cuo le 	給錯了	c=1 d=2.70372e-25 t=48101
gei ding 	給定	c=2 d=1.29229 t=42016
gei ge 	給個	c=16 d=2.9712e-07 t=48101
gei le 	給了	c=1 d=8.90825e-82 t=48101
gei le ma 	給了嗎	c=1 d=1.05049e-50 t=48101
gei li 	給力	c=2 d=7.98626e-32 t=48101
gei ni 	給你	c=18 d=3.1386e-15 t=48101
gei nin 	給您	c=129 d=0.888572 t=48101
gei ta 	給他	c=5 d=0.000418012 t=48101
gei ta 	給她	c=2 d=6.94765e-40 t=48101
gei wo 	給我	c=122 d=0.0812919 t=48101
gei wo ba 	給我吧	c=1 d=1.75515e-30 t=48101
gei yu 	給予	c=3 d=2.70039e-58 t=48101
gen 	跟	c=13 d=0.000516043 t=48101
gen ben 	根本	c=4 d=2.40787e-44 t=48101
gen bu shang 	跟不上	c=1 d=3.96666e-05 t=48101
gen ju 	根據	c=16 d=0.000330468 t=48101
gen mu lu 	根目錄	c=1 d=1 t=47992
gen ni 	跟你	c=9 d=3.19686e-45 t=48101
gen ni shuo 	跟你說	c=1 d=4.80961e-66 t=48101
gen nin 	跟您	c=3 d=2.02547e-20 t=48101
gen sui 	跟隨	c=1 d=7.84012e-50 t=48101
gen ta 	跟他	c=1 d=5.61598e-66 t=48101
gen ta men 	跟他們	c=1 d=2.08897e-49 t=48101
gen ta shuo 	跟他說	c=1 d=1.9714e-44 t=48101
gen wo 	跟我	c=7 d=3.70416e-23 t=48101
gen wo shuo 	跟我說	c=1 d=2.594e-67 t=48101
geng 	更	c=4 d=1.78228e-34 t=48101
geng da 	更大	c=1 d=0.000117979 t=48101
geng duo 	更多	c=11 d=0.00198498 t=48101
geng gai 	更改	c=4 d=0.000953854 t=48101
geng gai le 	更改了	c=1 d=7.78883e-61 t=48101
geng gao 	更高	c=3 d=0.000107287 t=48101
geng hao 	更好	c=3 d=5.85378e-74 t=48101
geng huan 	更換	c=6 d=4.12443e-07 t=48101
geng kuai 	更快	c=10 d=8.36572e-11 t=48101
geng man 	更慢	c=1 d=1 t=43160
geng ming 	更名	c=1 d=1 t=41865
geng shao 	更少	c=1 d=1 t=45590
geng xin 	更新	c=26 d=0.0071546 t=48101
geng xin bao 	更新包	c=1 d=1.44616e-46 t=48101
geng zhong yao 	更重要	c=1 d=0.000127806 t=48101
gong 	公	c=1 d=4.49558e-07 t=48101
gong 	共	c=1 d=1 t=46948
gong 	恭	c=1 d=2.06811e-78 t=48101
gong an bu 	公安部	c=1 d=1.10326e-09 t=48101
gong an ju 	公安局	c=1 d=1.23936e-54 t=48101
gong ce 	公測	c=1 d=9.25259e-87 t=48101
gong ce ban 	公測版	c=1 d=1 t=40952
gong chang 	工廠	c=3 d=1.02337e-55 t=48101
gong cheng shi 	工程師	c=4 d=4.19814e-12 t=48101
gong gong 	公共	c=0 d=1.42589e-28 t=48101
gong guan 	公關	c=1 d=9.44302e-62 t=48101
gong hang 	工行	c=3 d=0.267135 t=48101
gong ji 	攻擊	c=3 d=2.25702e-13 t=48101
gong ji jin 	公積金	c=1 d=2.32617e-79 t=48101
gong ju 	工具	c=14 d=0.000293099 t=48101
gong ju lei 	工具類	c=1 d=0.000531398 t=48101
gong kai 	公開	c=1 d=3.83259e-71 t=48101
gong ke 	攻克	c=1 d=1 t=44973
gong lve 	攻略	c=6 d=1.34114e-51 t=48101
gong neng 	功能	c=15 d=1.95556 t=48101
gong po 	攻破	c=1 d=6.18217e-49 t=48101
gong shang ju 	工商局	c=2 d=1.50123e-61 t=48101
gong si 	公司	c=84 d=5.64353e-06 t=48101
gong si wang zhi 	公司網址	c=1 d=8.20631e-87 t=48101
gong xi 	恭喜	c=11 d=1.19206e-08 t=48101
gong xiang 	共享	c=5 d=2.30261e-11 t=48101
gong xue yuan 	工學院	c=23 d=4.69196e-10 t=48101
gong ye 	工業	c=1 d=0.472367 t=48101
gong yi 	公益	c=2 d=1.66034 t=47107
gong yi 	工藝	c=5 d=1.15629e-58 t=48101
gong yong 	公用	c=1 d=1.80351e-85 t=48101
gong zhang 	公章	c=1 d=7.5996e-07 t=48101
gong zhong hao 	公众号	c=13 d=0.861431 t=48101
gong zi 	工資	c=57 d=1.2023e-53 t=48101
gong zuo 	工作	c=35 d=0.000450075 t=48101
gong zuo guo 	工作過	c=1 d=7.89016e-66 t=48101
gong zuo ji nian 	工作幾年	c=1 d=5.34299e-68 t=48101
gong zuo shi 	工作室	c=2 d=5.87847e-74 t=48101
gong zuo ti yan 	工作體驗	c=1 d=3.26592e-71 t=48101
gou 	夠	c=3 d=2.13008e-65 t=48101
gou 	狗	c=7 d=1.83004e-51 t=48101
gou 	購	c=2 d=1.89745e-06 t=48101
gou bu 	夠不	c=1 d=9.93764e-45 t=48101
gou bu gou 	夠不夠	c=1 d=1.1325e-52 t=48101
gou cheng 	構成	c=1 d=9.31035e-72 t=48101
gou jian 	構建	c=10 d=6.16326e-13 t=48101
gou le 	夠了	c=1 d=8.8229e-57 t=48101
gou mai 	購買	c=5 d=0.0023174 t=48101
gou nu cai 	狗奴才	c=1 d=2.97408e-58 t=48101
gou shang 	勾上	c=3 d=4.74154e-16 t=48101
gou tong 	溝通	c=3 d=0.000703108 t=48101
gou wu 	購物	c=3 d=9.97524e-60 t=48101
gou wu che 	購物車	c=2 d=1.8625e-42 t=48101
gou wu qing dan 	購物清單	c=1 d=3.16606e-88 t=48101
gou xuan 	勾選	c=4 d=0.022612 t=48101
gou zao qi 	构造器	c=1 d=6.54438e-13 t=48101
gu 	股	c=1 d=1.34858e-77 t=48101
gu ding 	固定	c=4 d=0.00963294 t=48101
gu fen 	股份	c=2 d=3.14384e-64 t=48101
gu ge 	Google	c=3 d=8.53387e-42 t=48101
gu ge 	谷歌	c=11 d=0.341298 t=48101
gu ge di tu 	谷歌地图	c=1 d=4.12547e-55 t=48101
gu gu 	姑姑	c=4 d=5.49729e-50 t=48101
gu ji 	估計	c=5 d=6.658e-39 t=48101
gu jian 	固件	c=3 d=1.08971e-46 t=48101
gu piao 	股票	c=2 d=0.000372602 t=48101
gu quan 	股權	c=2 d=3.05908e-77 t=48101
gu ren 	古人	c=2 d=5.98885e-78 t=48101
gu shi 	故事	c=3 d=7.21443e-79 t=48101
gu yong 	僱傭	c=10 d=1.03054e-56 t=48101
gu yong jun 	僱傭軍	c=1 d=1.60234e-76 t=48101
gu zhang 	姑丈	c=1 d=3.69951e-67 t=48101
gu zhang 	故障	c=6 d=0.0502521 t=48101
gua 	掛	c=4 d=1.38927e-15 t=48101
gua gou 	掛鉤	c=1 d=1.85269e-78 t=48101
gua le 	掛了	c=1 d=0.677057 t=48101
gua sha 	刮痧	c=1 d=1.1431e-44 t=48101
gua zai 	掛載	c=1 d=2.71017e-53 t=48101
guai 	乖	c=2 d=6.287e-40 t=48101
guai guai 	乖乖	c=1 d=4.14474e-51 t=48101
guai yi 	怪異	c=2 d=2.365e-64 t=48101
guan 	管	c=1 d=2.204e-62 t=48101
guan 	關	c=2 d=1.72162e-09 t=48101
guan 	館	c=2 d=3.7922e-78 t=48101
guan bi 	關閉	c=32 d=0.857103 t=48101
guan cha 	觀察	c=1 d=5.00148e-85 t=48101
guan dao 	管道	c=1 d=1.04593e-87 t=48101
guan fang 	官方	c=22 d=0.106459 t=48101
guan huai le 	慣壞了	c=1 d=3.05414e-47 t=48101
guan jian 	關鍵	c=3 d=7.41789e-41 t=48101
guan jian ci 	關鍵詞	c=5 d=1.50816e-40 t=48101
guan jian zi 	關鍵字	c=3 d=7.53039e-17 t=48101
guan kong 	管控	c=3 d=4.70531e-09 t=48101
guan le 	管了	c=1 d=1.374e-32 t=48101
guan le 	關了	c=2 d=1.03054e-18 t=48101
guan le ha 	關了哈	c=1 d=9.71933e-19 t=48101
guan li 	慣例	c=1 d=2.72793e-71 t=48101
guan li 	管理	c=5 d=0.000572785 t=48101
guan li qi 	管理器	c=1 d=2.10853e-41 t=48101
guan li yuan 	管理員	c=4 d=4.0596e-05 t=48101
guan li zhong xin 	管理中心	c=1 d=1.53659e-83 t=48101
guan lian 	關聯	c=14 d=9.36298e-35 t=48101
guan mian tang huang 	冠冕堂皇	c=2 d=2.85154e-63 t=48101
guan qia 	關卡	c=2 d=1.0306e-62 t=48101
guan ta 	管他	c=1 d=1.03179e-74 t=48101
guan tian 	官田	c=1 d=1.91705e-68 t=48101
guan wang 	官網	c=11 d=0.0274068 t=48101
guan xi 	關係	c=6 d=0.000267872 t=48101
guan yu 	關於	c=1 d=1 t=40849
guan zhi 	管制	c=2 d=8.96051e-08 t=48101
guan zhu 	關注	c=1 d=2.60576e-32 t=48101
guan zhu zhe 	關注者	c=1 d=7.79281e-67 t=48101
guang biao 	光標	c=8 d=9.36084e-61 t=48101
guang chang 	廣場	c=4 d=9.08932e-78 t=48101
guang dong 	廣東	c=4 d=5.50794e-14 t=48101
guang gao 	廣告	c=20 d=7.24737e-09 t=48101
guang gao fa 	廣告法	c=7 d=4.21191e-08 t=48101
guang gao yu 	廣告語	c=1 d=9.33604e-75 t=48101
guang huan 	光環	c=0 d=0.1 t=45030
guang hui sui yue 	光辉岁月	c=1 d=2.78635e-85 t=48101
guang nian 	光年	c=1 d=1 t=44182
guang rong 	光榮	c=1 d=4.22415e-39 t=48101
guang ying 	光影	c=3 d=1.6606e-55 t=48101
guang ying mo shu shou 	光影魔術手	c=2 d=1.82703e-61 t=48101
guang zhou 	廣州	c=2 d=1 t=46232
gui 	貴	c=1 d=1.49102e-23 t=48101
gui 	鬼	c=1 d=2.62658e-08 t=48101
gui bi 	規避	c=1 d=1 t=42277
gui de 	貴的	c=1 d=2.00529e-68 t=48101
gui fan 	規範	c=5 d=2.28582e-09 t=48101
gui gen jie di 	歸根結底	c=1 d=9.89449e-82 t=48101
gui hai 	歸還	c=1 d=1.79274e-44 t=48101
gui hua 	規劃	c=1 d=9.95351e-05 t=48101
gui ju 	規矩	c=3 d=0.0277367 t=48101
gui mi 	闺密	c=2 d=1.08592e-48 t=48101
gui shu gan 	歸屬感	c=1 d=9.08202e-74 t=48101
gui ze 	規則	c=7 d=0.00224531 t=48101
gun 	棍	c=0 d=1.19633e-51 t=48101
gun dong 	滾動	c=5 d=1.71946e-53 t=48101
gun dong tiao 	滾動條	c=1 d=2.49704e-60 t=48101
guo 	裹	c=1 d=4.87649e-52 t=48101
guo 	過	c=38 d=0.0035559 t=48101
guo 	鍋	c=1 d=1 t=42635
guo bu le 	過不了	c=1 d=2.29012e-13 t=48101
guo cheng 	過程	c=21 d=0.209088 t=48101
guo cui 	國粹	c=2 d=1.0806e-59 t=48101
guo da 	過大	c=1 d=0.410656 t=48101
guo de 	過的	c=1 d=1.42638e-31 t=48101
guo de qu 	過得去	c=1 d=7.28725e-72 t=48101
guo di 	過低	c=1 d=7.33376e-88 t=48101
guo du 	過毒	c=7 d=7.25344e-74 t=48101
guo du 	過渡	c=4 d=9.60727e-59 t=48101
guo duan shi jian 	過段時間	c=2 d=5.34243e-08 t=48101
guo gao 	過高	c=1 d=9.60369e-84 t=48101
guo guo 	過過	c=1 d=6.69115e-68 t=48101
guo hou 	過後	c=2 d=1.14206e-08 t=48101
guo i tunes 	過iTunes	c=4 d=0.0182243 t=48101
guo ji ge yue 	過幾個月	c=1 d=3.86046e-68 t=48101
guo ji tian 	過幾天	c=1 d=9.26707e-76 t=48101
guo jia 	國家	c=5 d=4.23306e-05 t=48101
guo lai 	過來	c=6 d=8.50206e-33 t=48101
guo le 	過了	c=2 d=2.71265e-05 t=48101
guo liang tian 	過兩天	c=2 d=4.1699e-34 t=48101
guo ma 	過嗎	c=6 d=1.4911e-07 t=48101
guo nei 	國內	c=18 d=0.000532115 t=48101
guo nei ban 	國內版	c=3 d=1.00366 t=46854
guo nei wai 	國內外	c=1 d=1 t=42146
guo nian 	過年	c=1 d=3.36893e-54 t=48101
guo qi 	國企	c=1 d=1.15302e-28 t=48101
guo qi 	過期	c=7 d=0.0229999 t=48101
guo qi le 	過期了	c=1 d=1 t=44755
guo qi le ma 	過期了嗎	c=1 d=2.84089e-19 t=48101
guo qu 	過去	c=9 d=6.12079e-46 t=48101
guo ran 	果然	c=1 d=3.47508e-66 t=48101
guo wai 	國外	c=9 d=0.000287986 t=48101
guo wan 	過萬	c=0 d=1.84671e-41 t=48101
guo ye 	過夜	c=1 d=8.01784e-49 t=48101
guo yi duan 	過一段	c=1 d=8.37548e-33 t=48101
ha 	哈	c=607 d=0.793765 t=48101
ha de 	哈德	c=1 d=1.43592e-80 t=48101
ha gen 	哈根	c=0 d=7.12134e-08 t=48101
ha ha 	哈哈	c=26 d=0.0217096 t=48101
ha inboard 	哈Inboard	c=1 d=3.94755e-07 t=48101
hai 	海	c=2 d=3.38054e-78 t=48101
hai 	還	c=87 d=0.137857 t=48101
hai bao 	海報	c=1 d=2.66284e-81 t=48101
hai bu cuo 	還不錯	c=3 d=2.28896e-07 t=48101
hai bu ru 	還不如	c=2 d=4.03212e-52 t=48101
hai bu xing 	還不行	c=2 d=2.7698e-15 t=48101
hai cha 	還差	c=1 d=2.38011e-84 t=48101
hai chu 	害處	c=1 d=1.30939e-83 t=48101
hai de 	還得	c=7 d=1.58488e-06 t=48101
hai di 	海底	c=0 d=0.1 t=41956
hai di 	海蒂	c=2 d=1.99501 t=41959
hai di he ye ye 	海底和爺爺	c=1 d=1 t=41957
hai di lao 	海底撈	c=1 d=3.54347e-60 t=48101
hai er 	海爾	c=1 d=2.02723e-49 t=48101
hai hao 	還好	c=1 d=6.37241e-82 t=48101
hai hui 	還會	c=1 d=3.13029e-72 t=48101
hai jun lan 	海軍藍	c=1 d=4.51e-74 t=48101
hai ke 	還可	c=1 d=6.6442e-44 t=48101
hai ke yi 	還可以	c=15 d=8.87524e-09 t=48101
hai kuo tian kong 	海闊天空	c=1 d=2.56426e-49 t=48101
hai lu 	海露	c=1 d=1.53288e-84 t=48101
hai ma 	海馬	c=1 d=8.75325e-52 t=48101
hai mei 	還沒	c=21 d=1.79264e-07 t=48101
hai mei chi 	還沒吃	c=1 d=4.443e-45 t=48101
hai mei shuo 	還沒說	c=1 d=4.65477e-34 t=48101
hai mei wan 	還沒完	c=1 d=5.13017e-31 t=48101
hai mei you 	還沒有	c=7 d=3.1196e-18 t=48101
hai mian 	海綿	c=1 d=1.26965e-44 t=48101
hai neng 	還能	c=6 d=0.260715 t=48101
hai qing 	還請	c=1 d=1.28237e-73 t=48101
hai sheng 	還剩	c=1 d=1.03629e-37 t=48101
hai shi 	還是	c=134 d=0.331211 t=48101
hai suan 	還算	c=1 d=6.34063e-82 t=48101
hai tao 	海淘	c=1 d=2.98838e-85 t=48101
hai wai 	海外	c=2 d=3.23848e-60 t=48101
hai wei 	還未	c=1 d=1 t=46755
hai xiang 	還想	c=2 d=1.60911e-08 t=48101
hai xing 	還行	c=1 d=1.43246e-81 t=48101
hai xu yao 	還需要	c=3 d=4.19451e-15 t=48101
hai yao 	還要	c=3 d=5.06601e-30 t=48101
hai yi wei 	還以爲	c=2 d=1.56435e-67 t=48101
hai you 	還有	c=31 d=0.00316691 t=48101
hai you mei you 	還有沒有	c=1 d=1.16054e-75 t=48101
hai you ren 	還有人	c=1 d=1.30357e-60 t=48101
hai zai 	還在	c=8 d=1.43865e-06 t=48101
hai zi 	孩子	c=3 d=7.6046e-53 t=48101
han 	含	c=2 d=1.8311 t=47278
han 	寒	c=1 d=0.000435072 t=48101
han shu 	函數	c=1 d=6.41479e-13 t=48101
han zhe 	喊着	c=1 d=2.86486e-59 t=48101
hang 	行	c=3 d=4.46161e-06 t=48101
hang dian 	杭電	c=17 d=3.43828e-10 t=48101
hang hao 	行號	c=1 d=1 t=40814
hang huo 	行貨	c=1 d=0.00419023 t=48101
hang mo 	行末	c=1 d=1 t=46077
hang ye 	行業	c=1 d=0.000280202 t=48101
hang zhang 	行長	c=1 d=9.45428e-76 t=48101
hang zhou 	杭州	c=4 d=7.17434e-06 t=48101
hao 	好	c=55 d=1.10633 t=48101
hao 	耗	c=1 d=1.20913e-87 t=48101
hao 	號	c=51 d=1.10002 t=48101
hao ba 	好吧	c=14 d=0.00252883 t=48101
hao chi 	好吃	c=1 d=1.03218e-49 t=48101
hao chu 	好處	c=4 d=0.697676 t=48101
hao da 	好大	c=1 d=8.02168e-84 t=48101
hao de 	好得	c=4 d=2.73976e-83 t=48101
hao de 	好的	c=319 d=0.90935 t=48101
hao de ba 	好的吧	c=1 d=2.09324e-73 t=48101
hao de bu 	好的不	c=1 d=1 t=41256
hao dian 	好點	c=5 d=0.00294073 t=48101
hao dian mei 	好點沒	c=1 d=1.00927e-79 t=48101
hao dong xi 	好東西	c=1 d=2.01574e-41 t=48101
hao du shu 	好讀書	c=1 d=2.29629e-74 t=48101
hao duo 	好多	c=18 d=0.00019549 t=48101
hao duo ren 	好多人	c=2 d=3.34358e-24 t=48101
hao hao 	好好	c=17 d=1.64447e-42 t=48101
hao hao de 	好好的	c=1 d=8.72499e-14 t=48101
hao hao gan 	好好幹	c=1 d=1.68776e-40 t=48101
hao hao kao 	好好考	c=1 d=5.10181e-54 t=48101
hao hao xiu xi 	好好休息	c=1 d=1.12069e-17 t=48101
hao hao zuo 	好好做	c=1 d=6.46342e-43 t=48101
hao hua 	豪華	c=1 d=3.83533e-50 t=48101
hao huo 	好貨	c=1 d=1 t=46476
hao ji ci 	好幾次	c=1 d=1.82635e-86 t=48101
hao ji ge ren 	好幾個人	c=1 d=1.15955e-65 t=48101
hao ji lun 	好幾輪	c=1 d=1.36612e-82 t=48101
hao ji shi 	好幾十	c=1 d=6.96185e-64 t=48101
hao ji tian 	好幾天	c=1 d=7.77137e-64 t=48101
hao ji tiao 	好幾條	c=1 d=1.78501e-52 t=48101
hao jiu 	好久	c=4 d=0.00472657 t=48101
hao jiu bu jian 	好久不見	c=1 d=3.2965e-63 t=48101
hao kan 	好看	c=11 d=1.0762e-11 t=48101
hao kan de 	好看的	c=1 d=1.1045e-81 t=48101
hao kuai 	好快	c=1 d=1.56955e-68 t=48101
hao le 	好了	c=17 d=1.25634e-07 t=48101
hao le ba 	好了吧	c=0 d=2.10552e-84 t=48101
hao le ma 	好了嗎	c=4 d=3.42379e-23 t=48101
hao leng 	好冷	c=1 d=4.82796e-52 t=48101
hao ma 	好嗎	c=9 d=4.8091e-06 t=48101
hao ma 	號碼	c=12 d=9.23374e-14 t=48101
